Name,Type,Latitude,Longitude
Thrikkakara Municipal Co-operative Hospital,Hospital,10.01816,76.34672
vengola govt homoeo dispensary,Hospital,10.0971798,76.4511132
"Sunrise Hospital, Ernakulam",Hospital,10.0252315,76.3388796
Naliyath Medical Chamber,Hospital,9.9432462,76.3741513
"Nair's Hospital , Kochi",Hospital,9.9502203,76.3179964
P.S. Mission Hospital,Hospital,9.9377796,76.3227155
Dr. Joys Hospital,Hospital,9.9585788,76.3192419
Varma Hospital,Hospital,9.9538555,76.3423588
Government Ayurveda Hospital,Hospital,9.9438728,76.349062
PNVM Hospital and Research Centre,Hospital,9.9859833,76.2814393
Al Shifa Hospital,Hospital,9.9787245,76.2867126
Sree Sudheendra Medical Mission Hospital,Hospital,9.9849328,76.2832964
MAJ Hospital,Hospital,10.0213004,76.3080439
Nirmala Hospital,Hospital,9.9446102,76.3727576
Gautham Hospital,Hospital,9.9468667,76.2560419
Laxmi Hospital,Hospital,9.9478979,76.2558553
Ushus Hospital.,Hospital,9.9832872,76.5778883
Nediyedath,Hospital,10.1717099,76.2119279
Topmost Medical Centre,Hospital,10.148035,76.2454786
City Hospital,Hospital,9.9812391,76.2834857
The Touch Aesthetic Medical Clinic,Hospital,9.9770906,76.3170085
Santhi Clinic And Hospital,Hospital,10.1470025,76.2294297
priya hospital,Hospital,10.1751999,76.3302812
Akshaya Hospital,Hospital,9.9690057,76.299672
Dr Raju's Eye Hospital,Hospital,9.9647734,76.3191089
Carmel Hospital,Hospital,10.090557,76.3620708
Bharath Rural Hospital and Training Centre,Hospital,10.1807053,76.2057125
"Najath Hospital, Ernakulam",Hospital,10.110983,76.3515701
Dr. Pakkai Memorial Hospital,Hospital,10.178028,76.3300226
Nettoor Primary Health Center,Hospital,9.9194425,76.3128645
Prana Ayurvedic Centre,Hospital,10.1188241,76.3816906
Westend Eye Hospitals,Hospital,9.9880943,76.2827224
Sarathy Ayurveda Clinic,Hospital,10.1093589,76.3589857
Govt Ayurveda Hospital ഗവൺമെന്റ് ആയൂർവേദ ആശുപത്രി,Hospital,10.1238777,76.3475843
Govt Homeo Dispensary,Hospital,10.0160984,76.2888545
Giridhar Eye Institute,Hospital,9.9641496,76.3050675
Ephphatha Softech എഫഥാ സ്പീച്ച് ആന്റ് ഹിയറിങ് സെന്റർ,Hospital,10.006847,76.3052486
Government Ayurvedic Hospital,Hospital,9.9242502,76.3579443
Primary Health Centre Koonammavu,Hospital,10.1011548,76.2659238
Rajagiri Hospital Emergency Services Entrance,Hospital,10.0876999,76.3887934
Rajagiri Hospital Main Entrance,Hospital,10.0878907,76.388261
"Vathiyayath Hospital, Perumbavoor",Hospital,10.1102479,76.4757764
Luke Memorial Eye Hospital,Hospital,10.1145519,76.4741792
Cochin Ariya Vaidya Sala,Hospital,9.9696286,76.3380557
P.M.M. Hsopital,Hospital,10.1643998,76.4363587
R C M Eye Hospital,Hospital,9.9467902,76.3522044
Jesus Hospital,Hospital,9.9428842,76.2606941
Vijaya Institute of Medical Sciences,Hospital,9.9700978,76.2991192
Ahalia Foundation Eye Hospital,Hospital,10.1446462,76.2262081
Jishy Hospital,Hospital,9.9244655,76.2558179
Sanjoe Hospital,Hospital,10.1142952,76.4726996
S. N. Mission Hospital,Hospital,10.1125425,76.4807714
Silverline Hospital,Hospital,9.9653574,76.3003696
Cimar Cochin Hospital,Hospital,10.0515389,76.296743
UB Trust Hospital and Diagnostic Centre,Hospital,10.0803996,76.2704929
"Vasan Eye Care Hospital, Palarivattom",Hospital,10.0099874,76.3126431
Paul's Hospital,Hospital,9.9883115,76.2957781
Dr. C. K. P Hospital,Hospital,10.0999403,76.347245
M.V. Joseph Memorial Hospital,Hospital,10.1111694,76.4815673
Nangelil Hospital,Hospital,10.0698012,76.6023036
Kerala Ayurveda Hospital,Hospital,10.1120322,76.353815
Thrikkakara Grama Panchayat Co-Operative Hospital,Hospital,10.0190155,76.3436562
SD Tata Hospital,Hospital,9.9280376,76.3912795
Focus Eye Hospital,Hospital,9.9942959,76.2954314
